trip_id,stop_id,stop_name,lat,long,time
SASICPXC,1003811,21st Street and K Street NW,38.90219,-77.046717,2018-11-10 20:17:00
14WZ2W7W,1001094,Massachusetts Avenue and New Jersey Avenue NW,38.899222,-77.013069,2018-11-10 23:01:00
ECY5PDLL,1001242,K Street and 16th Street NW,38.902599,-77.036983,2018-11-10 19:39:00
POW603TE,1001239,K Street and 14th Street NW,38.9026,-77.032504,2018-11-10 12:27:00
L4BC42UY,1001239,K Street and 14th Street NW,38.9026,-77.032504,2018-11-10 7:02:00
4NESYUGA,1001406,Wisconsin Avenue and P Street NW,38.909066,-77.064125,2018-11-10 9:36:00
XGZMCJU0,1003521,Massachusetts Avenue and 7th Street NW,38.902181,-77.021712,2018-11-10 1:01:00
ERQJSART,1001242,K Street and 16th Street NW,38.902599,-77.036983,2018-11-10 0:49:00
BWE0A2EC,1001242,K Street and 16th Street NW,38.902599,-77.036983,2018-11-10 12:59:00
YYEWTB74,1001376,Wisconsin Avenue and Dumbarton Street NW,38.907395,-77.063253,2018-11-10 18:54:00
LF8UPHM8,1001241,K Street and Connecticut Avenue NW,38.902611,-77.039222,2018-11-10 2:41:00
SB2RSKJA,1001202,Pennsylvania Avenue and 22nd Street NW,38.902094,-77.048448,2018-11-10 3:25:00
XO5AZDMX,1003660,New York Avenue and 9th Street NW,38.902091,-77.024599,2018-11-10 15:14:00
0OUDVWW7,1001233,K Street and 19th Street NW,38.9026,-77.043266,2018-11-10 21:08:00
1LVQYP39,1003864,Massachusetts Avenue and 5th Street NW,38.901144,-77.018743,2018-11-10 8:46:00
NSWHOGN2,1003811,21st Street and K Street NW,38.90219,-77.046717,2018-11-10 6:11:00
CEHHEKPP,1001233,K Street and 19th Street NW,38.9026,-77.043266,2018-11-10 4:21:00
RW5HG7DI,1003864,Massachusetts Avenue and 5th Street NW,38.901144,-77.018743,2018-11-10 19:12:00
RYZ6ZXTN,1003816,35th Street and Wisconsin Avenue NW,38.91762,-77.069531,2018-11-10 7:14:00
OL70M1WI,1001094,Massachusetts Avenue and New Jersey Avenue NW,38.899222,-77.013069,2018-11-10 19:07:00
MP0TBIYE,1001593,Wisconsin Avenue and R Street NW,38.914019,-77.066735,2018-11-10 19:39:00
QFRYYGF6,1003507,Wisconsin Avenue and M Street NW,38.904953,-77.062693,2018-11-10 17:11:00
1XDNNNG7,1003812,K Street and 24th Street NW,38.902672,-77.051596,2018-11-10 12:49:00
0DTE7YGN,1003521,Massachusetts Avenue and 7th Street NW,38.902181,-77.021712,2018-11-10 19:47:00
WM0DAYXX,1001242,K Street and 16th Street NW,38.902599,-77.036983,2018-11-10 2:51:00
6GP6V92F,1001239,K Street and 14th Street NW,38.9026,-77.032504,2018-11-10 18:30:00
L52783OX,1003816,35th Street and Wisconsin Avenue NW,38.91762,-77.069531,2018-11-10 3:22:00
1KUM76I7,1003816,35th Street and Wisconsin Avenue NW,38.91762,-77.069531,2018-11-10 15:41:00
8W3VB1A6,1001241,K Street and Connecticut Avenue NW,38.902611,-77.039222,2018-11-10 1:22:00
Q2N8F8KC,1001065,North Capitol Street and Massachusetts Avenue NW,38.897808,-77.009201,2018-11-10 18:57:00
8BSFMQC4,1001241,K Street and Connecticut Avenue NW,38.902611,-77.039222,2018-11-10 20:27:00
F6A0ZSGN,1001202,Pennsylvania Avenue and 22nd Street NW,38.902094,-77.048448,2018-11-10 0:30:00
GQU2GH1Z,1001065,North Capitol Street and Massachusetts Avenue NW,38.897808,-77.009201,2018-11-10 7:19:00
97ELKYVB,1001202,Pennsylvania Avenue and 22nd Street NW,38.902094,-77.048448,2018-11-10 2:53:00
XU32HF2E,1001593,Wisconsin Avenue and R Street NW,38.914019,-77.066735,2018-11-10 22:24:00
W1SDQP2K,1001094,Massachusetts Avenue and New Jersey Avenue NW,38.899222,-77.013069,2018-11-10 2:11:00
8W3VB1A6,1003814,(Lower) K Street and Wisconsin Avenue NW,38.90268,-77.062534,2018-11-10 1:37:00
K9ZZMLRM,1003864,Massachusetts Avenue and 5th Street NW,38.901144,-77.018743,2018-11-10 11:49:00
L1576AYU,1001242,K Street and 16th Street NW,38.902599,-77.036983,2018-11-10 19:17:00
6T8IS5SE,1003866,Union Station Parking Garage,38.899325,-77.006434,2018-11-10 21:53:00
XC2HS1CU,1003521,Massachusetts Avenue and 7th Street NW,38.902181,-77.021712,2018-11-10 16:09:00
YYEWTB74,1001239,K Street and 14th Street NW,38.9026,-77.032504,2018-11-10 17:53:00
5G6G16BJ,1001094,Massachusetts Avenue and New Jersey Avenue NW,38.899222,-77.013069,2018-11-10 8:00:00
HQYJULHA,1001406,Wisconsin Avenue and P Street NW,38.909066,-77.064125,2018-11-10 19:07:00
BSCXZRXA,1003814,(Lower) K Street and Wisconsin Avenue NW,38.90268,-77.062534,2018-11-10 22:08:00
H7TSOVQ2,1003866,Union Station Parking Garage,38.899325,-77.006434,2018-11-10 22:14:00
WMDHEME9,1001406,Wisconsin Avenue and P Street NW,38.909066,-77.064125,2018-11-10 11:51:00
AI8BEX2J,1003864,Massachusetts Avenue and 5th Street NW,38.901144,-77.018743,2018-11-10 20:15:00
N50X0RKF,1003507,Wisconsin Avenue and M Street NW,38.904953,-77.062693,2018-11-10 20:00:00
3D6UFHKH,1003660,New York Avenue and 9th Street NW,38.902091,-77.024599,2018-11-10 3:17:00
586D1PEB,1001242,K Street and 16th Street NW,38.902599,-77.036983,2018-11-10 5:59:00
7GUKK5DG,1001065,North Capitol Street and Massachusetts Avenue NW,38.897808,-77.009201,2018-11-10 12:24:00
AZT47TGI,1003864,Massachusetts Avenue and 5th Street NW,38.901144,-77.018743,2018-11-10 10:48:00
5C3H0RK4,1001242,K Street and 16th Street NW,38.902599,-77.036983,2018-11-10 10:28:00
0RNJGXJI,1003816,35th Street and Wisconsin Avenue NW,38.91762,-77.069531,2018-11-10 17:26:00
